Domicile_code	AU2017_code	AU2017_name	Dom_average_NZDep2023	Dom_average_NZDep2023_score
2800	597200	Lincoln	1	903
2801	597300	Leeston	4	953
2802	597400	Southbridge	4	967
2805	597503	Dunsandel	3	945
2906	597506	Selwyn-Rakaia	4	967
2909	597507	Rolleston North West	1	907
2910	597508	Rolleston Central	1	913
2911	597509	Rolleston North East	1	906
2912	597510	Rolleston South West	1	882
2913	597512	Springston	2	927
2914	597513	Rolleston South East	1	909
2806	597600	Methven	3	946
2808	597712	Plains Railway	1	905
2915	597713	Ashburton North	1	910
2916	597714	Fairton	1	901
2917	597715	Ashburton East	2	916
2809	597720	Mt Somers	3	952
2810	597730	Hinds	3	944
2811	597741	Chertsey	4	966
2812	597742	Rakaia	6	996
2918	597811	Allenton West	6	998
2919	597812	Allenton East	4	967
2814	597820	Ashburton Central West	6	991
2815	597830	Netherby	7	1026
2816	597840	Ashburton Central East	8	1044
2817	597850	Hampstead	8	1035
2818	597860	Tinwald	6	993
2819	598000	Winchester	4	962
2820	598201	Fairview-Scarborough	2	929
2821	598202	Otipua Creek-Washdyke Flat	1	909
2822	598311	Ben Mcleod	5	977
2823	598312	Orari	4	960
2824	598313	Levels	2	928
2825	598314	Pareora	8	1058
2826	598320	Pleasant Point	4	958
2827	598500	Geraldine	5	975
2828	598600	Temuka	7	1009
2829	598700	Washdyke	5	973
2830	598800	Waimataitai	7	1011
2831	598900	Marchwiel	7	1017
2832	599000	Maori Park	7	1011
2833	599100	Highfield	4	966
2834	599200	Glenwood	5	981
2835	599300	Gleniti	1	905
2836	599400	Fraser Park	6	993
2837	599500	Seaview	8	1043
2838	599600	Watlington	6	1005
2839	599700	Parkside	8	1042
2840	599800	Timaru Gardens	8	1045
2841	599900	Redruth	9	1068
2842	600100	Twizel Community	4	960
2843	600200	Fairlie	5	978
2845	600312	Mt Cook	9	1089
2900	600320	Lake Tekapo	2	930
2903	600323	Mackenzie	3	952
2847	600410	Waihao	5	984
2848	600420	St Andrews	7	1030
2849	600500	Waimate	8	1061
2850	600600	Weston	3	938
2851	600811	Pukeuri	4	963
2852	600812	Ardgowan	1	892
2853	600813	Cape Wanbrow	2	924
2854	600822	Duntroon	7	1013
2855	600824	Kurow	8	1035
2857	600826	Maheno	5	978
2858	600827	Omarama	5	971
2859	600828	Kakanui	5	976
2860	600830	Otematata	5	975
2907	600831	Aviemore	4	958
2861	600840	Hampden	8	1047
2862	601010	Oamaru North	8	1044
2863	601020	Orana Park	8	1052
2864	601030	Oamaru Central	7	1020
2865	601040	Oamaru South	6	1000
2866	601200	Palmerston	7	1007
2867	601301	Waihemo	4	962
2868	601302	Hyde	3	952
2869	601400	Waikouaiti	5	985
2870	601500	Aramoana	4	962
2871	601602	Waitati	4	965
2872	601603	Evansdale	4	955
2873	601604	Karitane	6	988
2874	601605	Warrington	3	943
2875	601700	Nenthorn	3	943
2876	601900	Fairfield	1	900
2877	602000	Brighton	3	951
2878	602100	Waldronville	1	895
2879	602200	Outram	1	914
2880	602300	Middlemarch	6	999
2881	602411	Wyllies Crossing	1	914
2882	602412	Wingatui	1	890
2883	602421	Kaikorai Hill	1	910
2884	602422	Saddle Hill	1	894
2885	602500	Taieri	2	922
2886	602600	Strath Taieri	4	957
2887	602800	Harbourside	7	1011
2888	602900	Fernhill	9	1064
2889	603000	High St-Stuart St	8	1034
2890	603100	Stuart St-Frederick St	9	1084
2891	603210	Opoho	4	953
2892	603220	Forrester Park	4	968
2893	603300	North East Valley	7	1029
2894	603400	Pine Hill	8	1032
2895	603500	Woodhaugh	6	1002
2896	603601	North Dunedin	10	1117
2897	603602	Otago University	9	1094
2898	603710	Maori Hill	2	916
2899	603720	Balmacewen	3	938
3000	603810	Glenleith	2	923
3001	603820	Helensburgh	2	935
3002	603910	Wakari	6	1006
3003	603920	Halfway Bush	6	998
3004	603930	Brockville	8	1047
3005	604010	Roslyn North	2	934
3006	604020	Roslyn South	2	935
3007	604110	Mornington	5	972
3008	604120	Belleknowes	3	943
3009	604130	Kenmure	2	933
3010	604210	Caversham	7	1022
3100	604221	Corstorphine West	9	1090
3101	604222	Corstorphine East	4	957
3012	604300	Caledonian	10	1206
3013	604410	South Dunedin	10	1146
3014	604420	Forbury	8	1055
3015	604500	St Clair	6	987
3016	604611	Musselburgh	3	952
3017	604612	Andersons Bay	2	930
3018	604620	Vauxhall	2	917
3019	604710	St Leonards-Blanket Bay	1	902
3020	604720	Ravensbourne	4	963
3021	604810	Inner Peninsula	2	931
3102	604821	Company Bay	1	898
3103	604822	Macandrew Bay	1	909
3023	604830	Broad Bay-Portobello	3	943
3024	604901	Taiaroa-Cape Saunders	7	1010
3025	604902	Sandymount	2	917
3026	605100	Sawyers Bay	3	941
